,LF_leg_hip_q_cur,LF_leg_thigh_q_cur,LF_leg_knee_q_cur,LF_leg_hip_q_cur_dot,LF_leg_thigh_q_cur_dot,LF_leg_knee_q_cur_dot,RF_leg_hip_q_cur,RF_leg_thigh_q_cur,RF_leg_knee_q_cur,RF_leg_hip_q_cur_dot,RF_leg_thigh_q_cur_dot,RF_leg_knee_q_cur_dot,LB_leg_hip_q_cur,LB_leg_thigh_q_cur,LB_leg_knee_q_cur,LB_leg_hip_q_cur_dot,LB_leg_thigh_q_cur_dot,LB_leg_knee_q_cur_dot,RB_leg_hip_q_cur,RB_leg_thigh_q_cur,RB_leg_knee_q_cur,RB_leg_hip_q_cur_dot,RB_leg_thigh_q_cur_dot,RB_leg_knee_q_cur_dot,LF_leg_hip_q_des,LF_leg_thigh_q_des,LF_leg_knee_q_des,LF_leg_hip_q_des_dot,LF_leg_thigh_q_des_dot,LF_leg_knee_q_des_dot,RF_leg_hip_q_des,RF_leg_thigh_q_des,RF_leg_knee_q_des,RF_leg_hip_q_des_dot,RF_leg_thigh_q_des_dot,RF_leg_knee_q_des_dot,LB_leg_hip_q_des,LB_leg_thigh_q_des,LB_leg_knee_q_des,LB_leg_hip_q_des_dot,LB_leg_thigh_q_des_dot,LB_leg_knee_q_des_dot,RB_leg_hip_q_des,RB_leg_thigh_q_des,RB_leg_knee_q_des,RB_leg_hip_q_des_dot,RB_leg_thigh_q_des_dot,RB_leg_knee_q_des_dot,x_cur,y_cur,z_cur,R_cur,P_cur,Y_cur,x_des,y_des,z_des,R_des,P_des,Y_des,time
0,-0.007879307238984445,0.0005324400182606936,-0.001094173580604263,-0.003922028764420139,-0.007649287148425924,-0.0026348864876424346,0.007711575774441037,-0.00312499595738025,0.0014830886218870631,-0.0005034850800025997,0.012581550636255249,-0.0038920970998971654,0.013015132365794102,-0.004802465676699619,0.0013980604404659758,-0.06477153308567252,6.258042076160916e-05,-0.02813187427360685,-0.012962749196498535,-0.001427573062301235,-0.0016236528421718077,-0.01701557833370483,0.008390273098659785,0.0018798018402672461,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.320298194885254
1,-0.005825289899556552,0.007654372509243501,-0.015872043524237434,0.1646913306896587,4.004695600623938,-7.762079394185192,0.0067265927650694834,1.4181031339433048e-05,0.041764029140794356,-0.08871653108048524,-5.496918538860469,10.506596337707023,0.010905528211532456,-0.0026021428965261606,-0.02211614274468321,-0.3542188663460557,4.745391609430915,-9.462861652293785,-0.012687121975996085,0.009083877099738125,0.013684799959455596,9.66696041759807e-06,-5.800782854022499,11.28393672105834,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.410974264144897
2,-0.005418521136982157,0.02652299769702804,-0.04785717297215264,-0.06787228979054265,-0.3999574522270001,0.6621127902226005,0.006090039615619602,-0.0302185481401942,0.07991135763319868,-0.048903334914703875,0.34192151814981436,-0.5913456412050117,0.009264322104611367,0.01599272240567995,-0.04819444588999655,0.03031378754585933,-0.727745057338301,1.7264593728566868,-0.013585125965942524,-0.015567609969694196,0.051647903394672845,0.0760329529174179,0.14734589669022452,-0.656392243640801,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.45097804069519
3,-0.008491625937114833,-0.01103201350479388,0.020897307088487693,0.0583409855660784,1.20994438977948,-2.3758210951873098,0.003663788765768672,0.029494460026469937,-0.03847292277313219,0.09240377977571256,-1.2215461866503883,2.414813718479553,0.013414752054927703,-0.028716080660292853,0.03433669568257702,-0.07275544411930528,0.954429304299799,-2.1161370301289075,-0.009522613872622543,0.021170292252104872,-0.017753420487980343,-0.02781815851201363,-0.5276785401612153,1.0500833859893102,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.530075550079346
4,-0.006864636744469799,0.012275516786863783,-0.023139866563749223,0.043729880676158836,1.3057431867500142,-2.342920118910532,0.005571532203661356,-0.016316996727985256,0.0490731042675252,0.03602769411154785,-2.6277595968764187,4.784661080674009,0.011372736473671097,0.005758776563181911,-0.033021439184609314,-0.12884099319705633,2.314477543374094,-4.386290882480169,-0.01159724654192118,-0.0015437912277107557,0.02438023173645476,-0.16814915608250358,-1.585333205594354,2.9307856585460543,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.590351819992065
5,-0.008090297141674085,-0.0006321683746186579,0.003436939221669988,-0.07888052270540646,-1.2964956058355301,2.5309239804091597,0.00486308944268643,0.0029595708142826638,0.0011016879074823294,-0.09166765707464619,2.372637261423633,-5.04381445173221,0.012899888381425306,-0.013799401992732108,0.010293680030176056,0.13340428518243017,-1.7942785919457478,3.470040329640012,-0.010305529716795547,0.0048556605803886654,0.008634864917461016,0.09706318428001715,0.9795770062642079,-1.8671839838376094,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.630951404571533
6,-0.00886672311452319,-0.009119264418759876,0.017918846687805967,0.04714840566487946,0.0685746423317076,-0.1210047559254489,0.004390076542161836,0.01947070202596901,-0.02861086140767366,0.04435159840485841,-0.014070873120486549,-9.952318258319576e-06,0.01345572538340889,-0.025977074780030307,0.030761342039776984,-0.010670314796426175,0.156105231345676,-0.2415282527707141,-0.009889614654903234,0.013135495163343336,-0.007673698898390313,-0.05280404944832626,0.16797829090084887,-0.3908175529725041,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.650559663772583
7,-0.007840846326713447,0.00046705550920389527,0.0004945157589713034,-0.035737049498775195,-0.4211305918398387,0.7849578422147337,0.006480922730466965,0.001544295612092128,-0.0004145446155598975,0.01028047325869725,0.6553033017186946,-1.2295691814143517,0.012466322840047894,-0.010082386337034954,0.002152259398226164,-0.00013220661883264762,-0.7353757110627488,1.4418458613473588,-0.011133392988311286,0.005138771344834758,0.004519564010666777,0.031677463222101264,0.04193080121820793,-0.11410127214871715,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.780614852905273
8,-0.00793445713204921,-0.0009614007328089258,0.0034079378166786967,0.019487159627725074,0.03297705276407188,-3.724323178794578e-06,0.006649996176249395,0.004425604999308774,-0.00620060735456196,0.00881106810687761,-0.07479902255227697,-1.349880651327351e-06,0.012470498621594217,-0.01427754767174605,0.009745125425683732,0.005639323415991328,0.040536320583725874,-0.0014461233846000173,-0.011306579449901655,0.005054196303562186,0.0039119493843129405,-0.04046585767319352,-0.03713646633848894,-0.002010549505325865,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.820569038391113
9,-0.007575411723514058,0.0005436497622683945,0.0014822758208792308,-0.016675820714211587,-0.0006333065735703129,-0.005350416743932917,0.007708617264906792,-0.0038996751945683528,0.006597790906377021,0.030117067662873923,0.003299475505201696,0.006745927215427019,0.011938008394841049,-0.005096262697101395,-0.007253834111773827,-0.01711187341304639,0.00020913740319957602,0.009629437939540419,-0.012091019780001488,0.0043417377709662475,0.003017096623089799,0.010366246506291392,-0.00023216697035742528,-0.024426429683762515,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14.940595626831055
